CIS Control,CIS Safeguard,Asset Type,Security Function,Title,Description,IG1,IG2,IG3
3,3.3,Data,Protect,Configure Data Access Control Lists,"Configure data access control lists based on a user’s need to know. Apply data access control lists, also known as access permissions, to local and remote file systems, databases, and applications.",x,x,x
3,3.4,Data,Protect,Enforce Data Retention,Retain data according to the enterprise’s documented data management process. Data retention must include both minimum and maximum timelines.,x,x,x
3,3.5,Data,Protect,Securely Dispose of Data,Securely dispose of data as outlined in the enterprise’s documented data management process. Ensure the disposal process and method are commensurate with the data sensitivity.,x,x,x
3,3.6,Data,Protect,Encrypt Data on End-User Devices,"Encrypt data on end-user devices containing sensitive data. Example implementations can include: Windows BitLocker®, Apple FileVault®, Linux® dm-crypt.",x,x,x
3,3.7,Data,Identify,Establish and Maintain a Data Classification Scheme,"Establish and maintain an overall data classification scheme for the enterprise. Enterprises may use labels, such as “Sensitive,” “Confidential,” and “Public,” and classify their data according to those labels. Review and update the classification scheme annually, or when significant enterprise changes occur that could impact this Safeguard.",,x,x
3,3.8,Data,Identify,Document Data Flows,"Document data flows. Data flow documentation includes service provider data flows and should be based on the enterprise’s data management process. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",,x,x
3,3.9,Data,Protect,Encrypt Data on Removable Media,Encrypt data on removable media.,,x,x
3 ,3.10,Data,Protect,Encrypt Sensitive Data in Transit,Encrypt sensitive data in transit. Example implementations can include: Transport Layer Security (TLS) and Open Secure Shell (OpenSSH).,,x,x
3,3.11,Data,Protect,Encrypt Sensitive Data at Rest,"Encrypt sensitive data at rest on servers, applications, and databases. Storage-layer encryption, also known as server-side encryption, meets the minimum requirement of this Safeguard. Additional encryption methods may include application-layer encryption, also known as client-side encryption, where access to the data storage device(s) does not permit access to the plain-text data. ",,x,x
3,3.12,Data,Protect,Segment Data Processing and Storage Based on Sensitivity,Segment data processing and storage based on the sensitivity of the data. Do not process sensitive data on enterprise assets intended for lower sensitivity data.,,x,x
3,3.13,Data,Protect,Deploy a Data Loss Prevention Solution,"Implement an automated tool, such as a host-based Data Loss Prevention (DLP) tool to identify all sensitive data stored, processed, or transmitted through enterprise assets, including those located onsite or at a remote service provider, and update the enterprise's  data inventory.",,,x
3,3.14,Data,Detect,Log Sensitive Data Access,"Log sensitive data access, including modification and disposal. ",,,x
4 ,,,,Secure Configuration of Enterprise Assets and Software,"Establish and maintain the secure configuration of enterprise assets (end-user devices, including portable and mobile; network devices; non-computing/IoT devices; and servers) and software (operating systems and applications).",,,
4,4.1,Documentation,Govern,Establish and Maintain a Secure Configuration Process,"Establish and maintain a documented secure configuration process for enterprise assets (end-user devices, including portable and mobile, non-computing/IoT devices, and servers) and software (operating systems and applications). Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",x,x,x
4,4.2,Documentation,Govern,Establish and Maintain a Secure Configuration Process for Network Infrastructure,"Establish and maintain a documented secure configuration process for network devices. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",x,x,x
4,4.3,Devices,Protect,Configure Automatic Session Locking on Enterprise Assets,"Configure automatic session locking on enterprise assets after a defined period of inactivity. For general purpose operating systems, the period must not exceed 15 minutes. For mobile end-user devices, the period must not exceed two (2) minutes.",x,x,x
4,4.4,Devices,Protect,Implement and Manage a Firewall on Servers,"Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.",x,x,x
4,4.5,Devices,Protect,Implement and Manage a Firewall on End-User Devices,"Implement and manage a host-based firewall or port-filtering tool on end-user devices, with a default-deny rule that drops all traffic except those services and ports that are explicitly allowed.",x,x,x
4,4.6,Devices,Protect,Securely Manage Enterprise Assets and Software,"Securely manage enterprise assets and software. Example implementations include managing configuration through version-controlled Infrastructure-as-Code (IaC) and accessing administrative interfaces over secure network protocols, such as Secure Shell (SSH) and Hypertext Transfer Protocol Secure (HTTPS). Do not use insecure management protocols, such as Telnet (Teletype Network) and HTTP, unless operationally essential.",x,x,x
4,4.7,Users,Protect,Manage Default Accounts on Enterprise Assets and Software,"Manage default accounts on enterprise assets and software, such as root, administrator, and other pre-configured vendor accounts. Example implementations can include: disabling default accounts or making them unusable.",x,x,x
4 ,4.8,Devices,Protect,Uninstall or Disable Unnecessary Services on Enterprise Assets and Software,"Uninstall or disable unnecessary services on enterprise assets and software, such as an unused file sharing service, web application module, or service function.",,x,x
4,4.9,Devices,Protect,Configure Trusted DNS Servers on Enterprise Assets,Configure trusted DNS servers on network infrastructure. Example implementations include configuring network devices to use enterprise-controlled DNS servers and/or reputable externally accessible DNS servers.,,x,x
4 ,4.10,Devices,Protect,Enforce Automatic Device Lockout on Portable End-User Devices,"Enforce automatic device lockout following a predetermined threshold of local failed authentication attempts on portable end-user devices, where supported. For laptops, do not allow more than 20 failed authentication attempts; for tablets and smartphones, no more than 10 failed authentication attempts. Example implementations include Microsoft® InTune Device Lock and Apple® Configuration Profile maxFailedAttempts.",,x,x
4,4.11,Data,Protect,Enforce Remote Wipe Capability on Portable End-User Devices,"Remotely wipe enterprise data from enterprise-owned portable end-user devices when deemed appropriate such as lost or stolen devices, or when an individual no longer supports the enterprise.",,x,x
4,4.12,Data,Protect,Separate Enterprise Workspaces on Mobile End-User Devices,"Ensure separate enterprise workspaces are used on mobile end-user devices, where supported. Example implementations include using an Apple® Configuration Profile or Android™ Work Profile to separate enterprise applications and data from personal applications and data.",,,x
5 ,,,,Account Management,"Use processes and tools to assign and manage authorization to credentials for user accounts, including administrator accounts, as well as service accounts, to enterprise assets and software.",,,
5,5.1,Users,Identify,Establish and Maintain an Inventory of Accounts,"Establish and maintain an inventory of all accounts managed in the enterprise. The inventory must at a minimum include user, administrator accounts, and service accounts. The inventory, at a minimum, should contain the person’s name, username, start/stop dates, and department. Validate that all active accounts are authorized, on a recurring schedule at a minimum quarterly, or more frequently.",x,x,x
5,5.2,Users,Protect,Use Unique Passwords,"Use unique passwords for all enterprise assets. Best practice implementation includes, at a minimum, an 8-character password for accounts using Multi-Factor Authentication (MFA) and a 14-character password for accounts not using MFA. ",x,x,x
5,5.3,Users,Protect,Disable Dormant Accounts,"Delete or disable any dormant accounts after a period of 45 days of inactivity, where supported.",x,x,x
5,5.4,Users,Protect,Restrict Administrator Privileges to Dedicated Administrator Accounts,"Restrict administrator privileges to dedicated administrator accounts on enterprise assets. Conduct general computing activities, such as internet browsing, email, and productivity suite use, from the user’s primary, non-privileged account.",x,x,x
5,5.5,Users,Identify,Establish and Maintain an Inventory of Service Accounts,"Establish and maintain an inventory of service accounts. The inventory, at a minimum, must contain department owner, review date, and purpose. Perform service account reviews to validate that all active accounts are authorized, on a recurring schedule at a minimum quarterly, or more frequently.",,x,x
5,5.6,Users,Govern,Centralize Account Management,Centralize account management through a directory or identity service.,,x,x
6,,,,Access Control Management,"Use processes and tools to create, assign, manage, and revoke access credentials and privileges for user, administrator, and service accounts for enterprise assets and software.",,,
6,6.1,Documentation,Govern,Establish an Access Granting Process,"Establish and follow a documented process, preferably automated, for granting access to enterprise assets upon new hire or role change of a user.",x,x,x
6,6.2,Documentation,Govern,Establish an Access Revoking Process,"Establish and follow a process, preferably automated, for revoking access to enterprise assets, through disabling accounts immediately upon termination, rights revocation, or role change of a user. Disabling accounts, instead of deleting accounts, may be necessary to preserve audit trails.",x,x,x
6,6.3,Users,Protect,Require MFA for Externally-Exposed Applications,"Require all externally-exposed enterprise or third-party applications to enforce MFA, where supported. Enforcing MFA through a directory service or SSO provider is a satisfactory implementation of this Safeguard.",x,x,x
6,6.4,Users,Protect,Require MFA for Remote Network Access,Require MFA for remote network access.,x,x,x
6,6.5,Users,Protect,Require MFA for Administrative Access,"Require MFA for all administrative access accounts, where supported, on all enterprise assets, whether managed on-site or through a service provider.",x,x,x
6,6.6,Software,Identify,Establish and Maintain an Inventory of Authentication and Authorization Systems,"Establish and maintain an inventory of the enterprise’s authentication and authorization systems, including those hosted on-site or at a remote service provider. Review and update the inventory, at a minimum, annually, or more frequently.",,x,x
6,6.7,Users,Protect,Centralize Access Control,"Centralize access control for all enterprise assets through a directory service or SSO provider, where supported.",,x,x
6,6.8,Users,Govern,Define and Maintain Role-Based Access Control,"Define and maintain role-based access control, through determining and documenting the access rights necessary for each role within the enterprise to successfully carry out its assigned duties. Perform access control reviews of enterprise assets to validate that all privileges are authorized, on a recurring schedule at a minimum annually, or more frequently.",,,x
7,,,,Continuous Vulnerability Management,"Develop a plan to continuously assess and track vulnerabilities on all enterprise assets within the enterprise’s infrastructure, in order to remediate, and minimize, the window of opportunity for attackers. Monitor public and private industry sources for new threat and vulnerability information.",,,
7,7.1,Documentation,Govern,Establish and Maintain a Vulnerability Management Process,"Establish and maintain a documented vulnerability management process for enterprise assets. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",x,x,x
7,7.2,Documentation,Govern,Establish and Maintain a Remediation Process,"Establish and maintain a risk-based remediation strategy documented in a remediation process, with monthly, or more frequent, reviews.",x,x,x
7,7.3,Software,Protect,Perform Automated Operating System Patch Management,"Perform operating system updates on enterprise assets through automated patch management on a monthly, or more frequent, basis.",x,x,x
7,7.4,Software,Protect,Perform Automated Application Patch Management,"Perform application updates on enterprise assets through automated patch management on a monthly, or more frequent, basis.",x,x,x
7,7.5,Software,Identify,Perform Automated Vulnerability Scans of Internal Enterprise Assets,"Perform automated vulnerability scans of internal enterprise assets on a quarterly, or more frequent, basis. Conduct both authenticated and unauthenticated scans.",,x,x
7,7.6,Software,Identify,Perform Automated Vulnerability Scans of Externally-Exposed Enterprise Assets,"Perform automated vulnerability scans of externally-exposed enterprise assets. Perform scans on a monthly, or more frequent, basis.",,x,x
7,7.7,Software,Respond,Remediate Detected Vulnerabilities,"Remediate detected vulnerabilities in software through processes and tooling on a monthly, or more frequent, basis, based on the remediation process.",,x,x
8 ,,,,Audit Log Management,"Collect, alert, review, and retain audit logs of events that could help detect, understand, or recover from an attack.",,,
8,8.1,Documentation,Govern,Establish and Maintain an Audit Log Management Process,"Establish and maintain a documented audit log management process that defines the enterprise’s logging requirements. At a minimum, address the collection, review, and retention of audit logs for enterprise assets. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",x,x,x
8,8.2,Data,Detect,Collect Audit Logs,"Collect audit logs. Ensure that logging, per the enterprise’s audit log management process, has been enabled across enterprise assets.",x,x,x
8,8.3,Data,Protect,Ensure Adequate Audit Log Storage,Ensure that logging destinations maintain adequate storage to comply with the enterprise’s audit log management process.,x,x,x
8 ,8.4,Data,Protect,Standardize Time Synchronization,"Standardize time synchronization. Configure at least two synchronized time sources across enterprise assets, where supported.",,x,x
8,8.5,Data,Detect,Collect Detailed Audit Logs,"Configure detailed audit logging for enterprise assets containing sensitive data. Include event source, date, username, timestamp, source addresses, destination addresses, and other useful elements that could assist in a forensic investigation.",,x,x
8 ,8.6,Data,Detect,Collect DNS Query Audit Logs,"Collect DNS query audit logs on enterprise assets, where appropriate and supported.",,x,x
8 ,8.7,Data,Detect,Collect URL Request Audit Logs,"Collect URL request audit logs on enterprise assets, where appropriate and supported.",,x,x
8 ,8.8,Data,Detect,Collect Command-Line Audit Logs,"Collect command-line audit logs. Example implementations include collecting audit logs from PowerShell®, BASH™, and remote administrative terminals.",,x,x
8 ,8.9,Data,Detect,Centralize Audit Logs,"Centralize, to the extent possible, audit log collection and retention across enterprise assets in accordance with the documented audit log management process. Example implementations include leveraging a SIEM tool to centralize multiple log sources.",,x,x
8 ,8.10,Data,Protect,Retain Audit Logs,Retain audit logs across enterprise assets for a minimum of 90 days.,,x,x
8 ,8.11,Data,Detect,Conduct Audit Log Reviews,"Conduct reviews of audit logs to detect anomalies or abnormal events that could indicate a potential threat. Conduct reviews on a weekly, or more frequent, basis.",,x,x
8,8.12,Data,Detect,Collect Service Provider Logs,"Collect service provider logs, where supported. Example implementations include collecting authentication and authorization events, data creation and disposal events, and user management events.",,,x
9 ,,,,Email and Web Browser Protections,"Improve protections and detections of threats from email and web vectors, as these are opportunities for attackers to manipulate human behavior through direct engagement.",,,
9,9.1,Software,Protect,Ensure Use of Only Fully Supported Browsers and Email Clients,"Ensure only fully supported browsers and email clients are allowed to execute in the enterprise, only using the latest version of browsers and email clients provided through the vendor.",x,x,x
9,9.2,Devices,Protect,Use DNS Filtering Services,"Use DNS filtering services on all end-user devices, including remote and on-premises assets, to block access to known malicious domains. ",x,x,x
9,9.3,Network,Protect,Maintain and Enforce Network-Based URL Filters,"Enforce and update network-based URL filters to limit an enterprise asset from connecting to potentially malicious or unapproved websites. Example implementations include category-based filtering, reputation-based filtering, or through the use of block lists. Enforce filters for all enterprise assets.",,x,x
9 ,9.4,Software,Protect,Restrict Unnecessary or Unauthorized Browser and Email Client Extensions,"Restrict, either through uninstalling or disabling, any unauthorized or unnecessary browser or email client plugins, extensions, and add-on applications.",,x,x
9 ,9.5,Network,Protect,Implement DMARC,"To lower the chance of spoofed or modified emails from valid domains, implement DMARC policy and verification, starting with implementing the Sender Policy Framework (SPF) and the DomainKeys Identified Mail (DKIM) standards.",,x,x
9 ,9.6,Network,Protect,Block Unnecessary File Types,Block unnecessary file types attempting to enter the enterprise’s email gateway.,,x,x
9 ,9.7,Network,Protect,Deploy and Maintain Email Server Anti-Malware Protections,"Deploy and maintain email server anti-malware protections, such as attachment scanning and/or sandboxing.",,,x
10,,,,Malware Defenses,"Prevent or control the installation, spread, and execution of malicious applications, code, or scripts on enterprise assets.",,,
10,10.1,Devices,Detect,Deploy and Maintain Anti-Malware Software,Deploy and maintain anti-malware software on all enterprise assets.,x,x,x
10,10.2,Devices,Protect,Configure Automatic Anti-Malware Signature Updates,Configure automatic updates for anti-malware signature files on all enterprise assets.,x,x,x
10,10.3,Devices,Protect,Disable Autorun and Autoplay for Removable Media,Disable autorun and autoplay auto-execute functionality for removable media.,x,x,x
10,10.4,Devices,Detect,Configure Automatic Anti-Malware Scanning of Removable Media,Configure anti-malware software to automatically scan removable media.,,x,x
10,10.5,Devices,Protect,Enable Anti-Exploitation Features,"Enable anti-exploitation features on enterprise assets and software, where possible, such as Microsoft® Data Execution Prevention (DEP), Windows® Defender Exploit Guard (WDEG), or Apple® System Integrity Protection (SIP) and Gatekeeper™.",,x,x
10,10.6,Devices,Protect,Centrally Manage Anti-Malware Software,Centrally manage anti-malware software.,,x,x
10 ,10.7,Devices,Detect,Use Behavior-Based Anti-Malware Software,Use behavior-based anti-malware software.,,x,x
11,,,,Data Recovery,Establish and maintain data recovery practices sufficient to restore in-scope enterprise assets to a pre-incident and trusted state.,,,
11,11.1,Documentation,Govern,Establish and Maintain a Data Recovery Process ,"Establish and maintain a documented data recovery process. In the process, address the scope of data recovery activities, recovery prioritization, and the security of backup data. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard. ",x,x,x
11,11.2,Data,Recover,Perform Automated Backups ,"Perform automated backups of in-scope enterprise assets. Run backups weekly, or more frequently, based on the sensitivity of the data.",x,x,x
11,11.3,Data,Protect,Protect Recovery Data,"Protect recovery data with equivalent controls to the original data. Reference encryption or data separation, based on requirements.",x,x,x
11,11.4,Data,Recover,Establish and Maintain an Isolated Instance of Recovery Data ,"Establish and maintain an isolated instance of recovery data. Example implementations include, version controlling backup destinations through offline, cloud, or off-site systems or services.",x,x,x
11,11.5,Data,Recover,Test Data Recovery,"Test backup recovery quarterly, or more frequently, for a sampling of in-scope enterprise assets.",,x,x
12,,,,Network Infrastructure Management,"Establish, implement, and actively manage (track, report, correct) network devices, in order to prevent attackers from exploiting vulnerable network services and access points.",,,
12,12.1,Network,Protect,Ensure Network Infrastructure is Up-to-Date,"Ensure network infrastructure is kept up to date. Example implementations include running the latest stable release of software and/or using currently supported network-as-a-service (NaaS) offerings. Review software versions monthly, or more frequently, to verify software support.",x,x,x
12,12.2,Network,Protect,Establish and Maintain a Secure Network Architecture,"Design and maintain a secure network architecture. A secure network architecture must address segmentation, least privilege, and availability, at a minimum. Example implementations will not solely include documentation, but also policy and design components.",,x,x
12,12.3,Network,Protect,Securely Manage Network Infrastructure,"Securely manage network infrastructure. Example implementations include version-controlled Infrastructure-as-Code (IaC) and the use of secure network protocols, such as SSH and HTTPS. ",,x,x
12,12.4,Documentation,Govern,Establish and Maintain Architecture Diagram(s),"Establish and maintain architecture diagram(s) and/or other network system documentation. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",,x,x
12,12.5,Network,Protect,"Centralize Network Authentication, Authorization, and Auditing (AAA)",Centralize network AAA.,,x,x
12,12.6,Network,Protect,Use of Secure Network Management and Communication Protocols ,"Use secure network management and communication protocols (e.g., 802.1X, Wi-Fi Protected Access 2 (WPA2) Enterprise or greater).",,x,x
12,12.7,Devices,Protect,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,Require users to authenticate to enterprise-managed VPN and authentication services prior to accessing enterprise resources on end-user devices.,,x,x
12 ,12.8,Devices,Protect,Establish and Maintain Dedicated Computing Resources for All Administrative Work,"Establish and maintain dedicated computing resources, either physically or logically separated, for all administrative tasks or tasks requiring administrative access. The computing resources should be segmented from the enterprise's primary network and not be allowed internet access.",,,x
13 ,,,,Network Monitoring and Defense,Operate processes and tooling to establish and maintain comprehensive network monitoring and defense against security threats across the enterprise’s network infrastructure and user base.,,,
13 ,13.1,Network,Detect,Centralize Security Event Alerting,"Centralize security event alerting across enterprise assets for log correlation and analysis. Best practice implementation requires the use of a SIEM, which includes vendor-defined event correlation alerts. A log analytics platform configured with security-relevant correlation alerts also satisfies this Safeguard.",,x,x
13 ,13.2,Devices,Detect,Deploy a Host-Based Intrusion Detection Solution,"Deploy a host-based intrusion detection solution on enterprise assets, where appropriate and/or supported.",,x,x
13 ,13.3,Network,Detect,Deploy a Network Intrusion Detection Solution,"Deploy a network intrusion detection solution on enterprise assets, where appropriate. Example implementations include the use of a Network Intrusion Detection System (NIDS) or equivalent cloud service provider (CSP) service.",,x,x
13 ,13.4,Network,Protect,Perform Traffic Filtering Between Network Segments,"Perform traffic filtering between network segments, where appropriate.",,x,x
13 ,13.5,Devices,Protect,Manage Access Control for Remote Assets,"Manage access control for assets remotely connecting to enterprise resources. Determine amount of access to enterprise resources based on: up-to-date anti-malware software installed, configuration compliance with the enterprise’s secure configuration process, and ensuring the operating system and applications are up to date.	 ",,x,x
13 ,13.6,Network,Detect,Collect Network Traffic Flow Logs ,Collect network traffic flow logs and/or network traffic to review and alert upon from network devices.,,x,x
13 ,13.7,Devices,Protect,Deploy a Host-Based Intrusion Prevention Solution,"Deploy a host-based intrusion prevention solution on enterprise assets, where appropriate and/or supported. Example implementations include use of an Endpoint Detection and Response (EDR) client or host-based IPS agent.",,,x
13 ,13.8,Network,Protect,Deploy a Network Intrusion Prevention Solution,"Deploy a network intrusion prevention solution, where appropriate. Example implementations include the use of a Network Intrusion Prevention System (NIPS) or equivalent CSP service.",,,x
13 ,13.9,Network,Protect,Deploy Port-Level Access Control,"Deploy port-level access control. Port-level access control utilizes 802.1x, or similar network access control protocols, such as certificates, and may incorporate user and/or device authentication.",,,x
13 ,13.10,Network,Protect,Perform Application Layer Filtering,"Perform application layer filtering. Example implementations include a filtering proxy, application layer firewall, or gateway.",,,x
13 ,13.11,Network,Detect,Tune Security Event Alerting Thresholds,"Tune security event alerting thresholds monthly, or more frequently.",,,x
14,,,,Security Awareness and Skills Training,Establish and maintain a security awareness program to influence behavior among the workforce to be security conscious and properly skilled to reduce cybersecurity risks to the enterprise.,,,
14,14.1,Documentation,Govern,Establish and Maintain a Security Awareness Program,"Establish and maintain a security awareness program. The purpose of a security awareness program is to educate the enterprise’s workforce on how to interact with enterprise assets and data in a secure manner. Conduct training at hire and, at a minimum, annually. Review and update content annually, or when significant enterprise changes occur that could impact this Safeguard.",x,x,x
14,14.2,Users,Protect,Train Workforce Members to Recognize Social Engineering Attacks,"Train workforce members to recognize social engineering attacks, such as phishing, business email compromise (BEC), pretexting, and tailgating. ",x,x,x
14,14.3,Users,Protect,Train Workforce Members on Authentication Best Practices,"Train workforce members on authentication best practices. Example topics include MFA, password composition, and credential management.",x,x,x
14,14.4,Users,Protect,Train Workforce on Data Handling Best Practices,"Train workforce members on how to identify and properly store, transfer, archive, and destroy sensitive data. This also includes training workforce members on clear screen and desk best practices, such as locking their screen when they step away from their enterprise asset, erasing physical and virtual whiteboards at the end of meetings, and storing data and assets securely.",x,x,x
14,14.5,Users,Protect,Train Workforce Members on Causes of Unintentional Data Exposure,"Train workforce members to be aware of causes for unintentional data exposure. Example topics include mis-delivery of sensitive data, losing a portable end-user device, or publishing data to unintended audiences.",x,x,x
14,14.6,Users,Protect,Train Workforce Members on Recognizing and Reporting Security Incidents,Train workforce members to be able to recognize a potential incident and be able to report such an incident. ,x,x,x
14,14.7,Users,Protect,Train Workforce on How to Identify and Report if Their Enterprise Assets are Missing Security Updates,Train workforce to understand how to verify and report out-of-date software patches or any failures in automated processes and tools. Part of this training should include notifying IT personnel of any failures in automated processes and tools.,x,x,x
14,14.8,Users,Protect,Train Workforce on the Dangers of Connecting to and Transmitting Enterprise Data Over Insecure Networks,"Train workforce members on the dangers of connecting to and transmitting data over insecure networks for enterprise activities. If the enterprise has remote workers, training must include guidance to ensure that all users securely configure their home network infrastructure.",x,x,x
14,14.9,Users,Protect,Conduct Role-Specific Security Awareness and Skills Training,"Conduct role-specific security awareness and skills training. Example implementations include secure system administration courses for IT professionals, OWASP® Top 10 vulnerability awareness and prevention training for web application developers, and advanced social engineering awareness training for high-profile roles.",,x,x
15,,,,Service Provider Management,"Develop a process to evaluate service providers who hold sensitive data, or are responsible for an enterprise’s critical IT platforms or processes, to ensure these providers are protecting those platforms and data appropriately.",,,
15,15.1,Users,Identify,Establish and Maintain an Inventory of Service Providers,"Establish and maintain an inventory of service providers. The inventory is to list all known service providers, include classification(s), and designate an enterprise contact for each service provider. Review and update the inventory annually, or when significant enterprise changes occur that could impact this Safeguard. ",x,x,x
15,15.2,Documentation,Govern,Establish and Maintain a Service Provider Management Policy,"Establish and maintain a service provider management policy. Ensure the policy addresses the classification, inventory, assessment, monitoring, and decommissioning of service providers. Review and update the policy annually, or when significant enterprise changes occur that could impact this Safeguard.",,x,x
15,15.3,Users,Govern,Classify Service Providers,"Classify service providers. Classification consideration may include one or more characteristics, such as data sensitivity, data volume, availability requirements, applicable regulations, inherent risk, and mitigated risk. Update and review classifications annually, or when significant enterprise changes occur that could impact this Safeguard.",,x,x
15,15.4,Documentation,Govern,Ensure Service Provider Contracts Include Security Requirements,"Ensure service provider contracts include security requirements. Example requirements may include minimum security program requirements, security incident and/or data breach notification and response, data encryption requirements, and data disposal commitments. These security requirements must be consistent with the enterprise’s service provider management policy. Review service provider contracts annually to ensure contracts are not missing security requirements.",,x,x
15,15.5,Users,Govern,Assess Service Providers,"Assess service providers consistent with the enterprise’s service provider management policy. Assessment scope may vary based on classification(s) and may include review of standardized assessment reports, such as Service Organization Control 2 (SOC 2) and Payment Card Industry (PCI) Attestation of Compliance (AoC), customized questionnaires, or other appropriately rigorous processes. Reassess service providers annually, at a minimum, or with new and renewed contracts.",,,x
15,15.6,Data,Govern,Monitor Service Providers,"Monitor service providers consistent with the enterprise’s service provider management policy. Monitoring may include periodic reassessment of service provider compliance, monitoring service provider release notes, and dark web monitoring.",,,x
15,15.7,Data,Protect,Securely Decommission Service Providers,"Securely decommission service providers. Example considerations include user and service account deactivation, termination of data flows, and secure disposal of enterprise data within service provider systems. ",,,x
