mitigation id,mitigation name,technique id,technique name,comments
M1015,Active Directory Configuration,T1558.001,Golden Ticket,"For containing the impact of a previously generated golden ticket, reset the built-in KRBTGT account password twice, which will invalidate any existing golden tickets that have been created with the KRBTGT hash and other Kerberos tickets derived from it. For each domain, change the KRBTGT account password once, force replication, and then change the password a second time. Consider rotating the KRBTGT account password every 180 days.(Citation: STIG krbtgt reset)"
M1015,Active Directory Configuration,T1552.006,Group Policy Preferences,Remove vulnerable Group Policy Preferences.(Citation: Microsoft MS14-025)
M1015,Active Directory Configuration,T1003,OS Credential Dumping,"
Manage the access control list for “Replicating Directory Changes” and other permissions associated with domain controller replication. (Citation: AdSecurity DCSync Sept 2015) (Citation: Microsoft Replication ACL) Consider adding users to the ""Protected Users"" Active Directory security group. This can help limit the caching of users' plaintext credentials.(Citation: Microsoft Protected Users Security Group)"
M1015,Active Directory Configuration,T1550.003,Pass the Ticket,"To contain the impact of a previously generated golden ticket, reset the built-in KRBTGT account password twice, which will invalidate any existing golden tickets that have been created with the KRBTGT hash and other Kerberos tickets derived from it.(Citation: ADSecurity Kerberos and KRBTGT) For each domain, change the KRBTGT account password once, force replication, and then change the password a second time. Consider rotating the KRBTGT account password every 180 days.(Citation: STIG krbtgt reset)"
M1015,Active Directory Configuration,T1606.002,SAML Tokens,"For containing the impact of a previously forged SAML token, rotate the token-signing AD FS certificate in rapid succession twice, which will invalidate any tokens generated using the previous certificate.(Citation: Mandiant Defend UNC2452 White Paper)"
M1015,Active Directory Configuration,T1134.005,SID-History Injection,"Clean up SID-History attributes after legitimate account migration is complete.

Consider applying SID Filtering to interforest trusts, such as forest trusts and external trusts, to exclude SID-History from requests to access domain resources. SID Filtering ensures that any authentication requests over a trust only contain SIDs of security principals from the trusted domain (i.e preventing the trusted domain from claiming a user has membership in groups outside of the domain).

SID Filtering of forest trusts is enabled by default, but may have been disabled in some cases to allow a child domain to transitively access forest trusts. SID Filtering of external trusts is automatically enabled on all created external trusts using Server 2003 or later domain controllers. (Citation: Microsoft Trust Considerations Nov 2014) (Citation: Microsoft SID Filtering Quarantining Jan 2009) However note that SID Filtering is not automatically applied to legacy trusts or may have been deliberately disabled to allow inter-domain access to resources.

SID Filtering can be applied by: (Citation: Microsoft Netdom Trust Sept 2012)

* Disabling SIDHistory on forest trusts using the netdom tool (<code>netdom trust /domain: /EnableSIDHistory:no</code> on the domain controller)

* Applying SID Filter Quarantining to external trusts using the netdom tool (<code>netdom trust <TrustingDomainName> /domain:<TrustedDomainName> /quarantine:yes</code> on the domain controller)

* Applying SID Filtering to domain trusts within a single forest is not recommended as it is an unsupported configuration and can cause breaking changes. (Citation: Microsoft Netdom Trust Sept 2012) (Citation: AdSecurity Kerberos GT Aug 2015) If a domain within a forest is untrustworthy then it should not be a member of the forest. In this situation it is necessary to first split the trusted and untrusted domains into separate forests where SID Filtering can be applied to an interforest trust"
M1015,Active Directory Configuration,T1072,Software Deployment Tools,Ensure proper system and access isolation for critical network systems through use of group policy.
M1015,Active Directory Configuration,T1649,Steal or Forge Authentication Certificates,"Ensure certificate authorities (CA) are properly secured, including treating CA servers (and other resources hosting CA certificates) as tier 0 assets. Harden abusable CA settings and attributes.

For example, consider disabling the usage of AD CS certificate SANs within relevant authentication protocol settings to enforce strict user mappings and prevent certificates from authenticating as other identifies.(Citation: SpecterOps Certified Pre Owned) Also consider enforcing CA Certificate Manager approval for the templates that include SAN as an issuance requirement."
M1015,Active Directory Configuration,T1558,Steal or Forge Kerberos Tickets,"For containing the impact of a previously generated golden ticket, reset the built-in KRBTGT account password twice, which will invalidate any existing golden tickets that have been created with the KRBTGT hash and other Kerberos tickets derived from it. For each domain, change the KRBTGT account password once, force replication, and then change the password a second time. Consider rotating the KRBTGT account password every 180 days.(Citation: STIG krbtgt reset)"
M1015,Active Directory Configuration,T1552,Unsecured Credentials,Remove vulnerable Group Policy Preferences.(Citation: Microsoft MS14-025)
M1015,Active Directory Configuration,T1550,Use Alternate Authentication Material,"Configure Active Directory to prevent use of certain techniques; use SID Filtering, etc."
M1015,Active Directory Configuration,T1078,Valid Accounts,"Disable legacy authentication, which does not support MFA, and require the use of modern authentication protocols instead."
M1049,Antivirus/Antimalware,T1027.010,Command Obfuscation,Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10+ to analyze commands after being processed/interpreted. 
M1049,Antivirus/Antimalware,T1059,Command and Scripting Interpreter,Anti-virus can be used to automatically quarantine suspicious files. 
M1049,Antivirus/Antimalware,T1027.009,Embedded Payloads,Anti-virus can be used to automatically detect and quarantine suspicious files.
M1049,Antivirus/Antimalware,T1027.013,Encrypted/Encoded File,"Anti-virus can be used to automatically detect and quarantine suspicious files, including those with high entropy measurements or with otherwise potentially malicious signs of obfuscation."
M1049,Antivirus/Antimalware,T1564.012,File/Path Exclusions,"Review and audit file/folder exclusions, and limit scope of exclusions to only what is required where possible.(Citation: Microsoft File Folder Exclusions)"
M1049,Antivirus/Antimalware,T1564,Hide Artifacts,"Review and audit file/folder exclusions, and limit scope of exclusions to only what is required where possible.(Citation: Microsoft File Folder Exclusions)"
M1049,Antivirus/Antimalware,T1547.006,Kernel Modules and Extensions,"Common tools for detecting Linux rootkits include: rkhunter (Citation: SourceForge rkhunter), chrootkit (Citation: Chkrootkit Main), although rootkits may be designed to evade certain detection tools."
M1049,Antivirus/Antimalware,T1027.012,LNK Icon Smuggling,Use signatures or heuristics to detect malicious LNK and subsequently downloaded files.
M1049,Antivirus/Antimalware,T1036.008,Masquerade File Type,Anti-virus can be used to automatically quarantine suspicious files. 
M1049,Antivirus/Antimalware,T1036,Masquerading,Anti-virus can be used to automatically quarantine suspicious files.
M1049,Antivirus/Antimalware,T1027,Obfuscated Files or Information,Anti-virus can be used to automatically detect and quarantine suspicious files. Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10+ to analyze commands after being processed/interpreted. (Citation: Microsoft AMSI June 2015)
M1049,Antivirus/Antimalware,T1566,Phishing,Anti-virus can automatically quarantine suspicious files.
M1049,Antivirus/Antimalware,T1059.001,PowerShell,Anti-virus can be used to automatically quarantine suspicious files. 
M1049,Antivirus/Antimalware,T1059.006,Python,Anti-virus can be used to automatically quarantine suspicious files. 
M1049,Antivirus/Antimalware,T1027.002,Software Packing,Employ heuristic-based malware detection. Ensure updated virus definitions and create custom signatures for observed malware. 
M1049,Antivirus/Antimalware,T1566.001,Spearphishing Attachment,Anti-virus can also automatically quarantine suspicious files.
M1049,Antivirus/Antimalware,T1566.003,Spearphishing via Service,Anti-virus can also automatically quarantine suspicious files.
M1049,Antivirus/Antimalware,T1080,Taint Shared Content,Anti-virus can be used to automatically quarantine suspicious files.(Citation: Mandiant Cloudy Logs 2023)
M1049,Antivirus/Antimalware,T1221,Template Injection,"Network/Host intrusion prevention systems, antivirus, and detonation chambers can be employed to prevent documents from fetching and/or executing malicious payloads.(Citation: Anomali Template Injection MAR 2018)"
M1049,Antivirus/Antimalware,T1059.005,Visual Basic,Anti-virus can be used to automatically quarantine suspicious files. 
M1013,Application Developer Guidance,T1550.001,Application Access Token,"Consider implementing token binding strategies, such as Azure AD token protection or OAuth Proof of Possession, that cryptographically bind a token to a secret. This may prevent the token from being used without knowledge of the secret or possession of the device the token is tied to.(Citation: Microsoft Token Protection 2023)(Citation: Okta DPoP 2023)"
M1013,Application Developer Guidance,T1593.003,Code Repositories,Application developers uploading to public code repositories should be careful to avoid publishing sensitive information such as credentials and API keys.
M1013,Application Developer Guidance,T1195.001,Compromise Software Dependencies and Development Tools,"Application developers should be cautious when selecting third-party libraries to integrate into their application. Additionally, where possible, developers should lock software dependencies to specific versions rather than pulling the latest version on build.(Citation: Cider Security Top 10 CICD Security Risks)"
M1013,Application Developer Guidance,T1574.002,DLL Side-Loading,"When possible, include hash values in manifest files to help prevent side-loading of malicious libraries.(Citation: FireEye DLL Side-Loading)"
M1013,Application Developer Guidance,T1212,Exploitation for Credential Access,"Application developers should consider taking measures to validate authentication requests by enabling one-time passwords, providing timestamps or sequence numbers for messages sent, using digital signatures, and/or using random session keys.(Citation: Comparitech Replay Attack)(Citation: Bugcrowd Replay Attack)"
M1013,Application Developer Guidance,T1564.012,File/Path Exclusions,"Application developers should consider limiting the requirements for custom or otherwise difficult to manage file/folder exclusions. Where possible, install applications to trusted system folder paths that are already protected by restricted file and directory permissions."
M1013,Application Developer Guidance,T1564,Hide Artifacts,"Application developers should consider limiting the requirements for custom or otherwise difficult to manage file/folder exclusions. Where possible, install applications to trusted system folder paths that are already protected by restricted file and directory permissions."
M1013,Application Developer Guidance,T1574,Hijack Execution Flow,"When possible, include hash values in manifest files to help prevent side-loading of malicious libraries.(Citation: FireEye DLL Side-Loading)"
M1013,Application Developer Guidance,T1559,Inter-Process Communication,Enable the Hardened Runtime capability when developing applications. Do not include the <code>com.apple.security.get-task-allow</code> entitlement with the value set to any variation of true. 
M1013,Application Developer Guidance,T1647,Plist File Modification,Ensure applications are using Apple's developer guidance which enables hardened runtime.(Citation: Apple Developer Doco Hardened Runtime)
M1013,Application Developer Guidance,T1564.009,Resource Forking,Configure applications to use the application bundle structure which leverages the <code>/Resources</code> folder location.(Citation: Apple App Security Overview) 
M1013,Application Developer Guidance,T1593,Search Open Websites/Domains,Application developers uploading to public code repositories should be careful to avoid publishing sensitive information such as credentials and API keys.
M1013,Application Developer Guidance,T1195,Supply Chain Compromise,"Application developers should be cautious when selecting third-party libraries to integrate into their application. Additionally, where possible, developers should lock software dependencies to specific versions rather than pulling the latest version on build.(Citation: Cider Security Top 10 CICD Security Risks)"
M1013,Application Developer Guidance,T1550,Use Alternate Authentication Material,"Consider implementing token binding strategies, such as Azure AD token protection or OAuth Proof of Possession, that cryptographically bind a token to a secret. This may prevent the token from being used without knowledge of the secret or possession of the device the token is tied to.(Citation: Microsoft Token Protection 2023)(Citation: Okta DPoP 2023)"
M1013,Application Developer Guidance,T1078,Valid Accounts,"Ensure that applications do not store sensitive data or credentials insecurely. (e.g. plaintext credentials in code, published credentials in repositories, or credentials in public cloud storage)."
M1013,Application Developer Guidance,T1559.003,XPC Services,Enable the Hardened Runtime capability when developing applications. Do not include the <code>com.apple.security.get-task-allow</code> entitlement with the value set to any variation of true. 
M1048,Application Isolation and Sandboxing,T1559.001,Component Object Model,Ensure all COM alerts and Protected View are enabled.(Citation: Microsoft Protected View)
M1048,Application Isolation and Sandboxing,T1021.003,Distributed Component Object Model,Ensure all COM alerts and Protected View are enabled.(Citation: Microsoft Protected View)
M1048,Application Isolation and Sandboxing,T1189,Drive-by Compromise,"Browser sandboxes can be used to mitigate some of the impact of exploitation, but sandbox escapes may still exist.(Citation: Windows Blogs Microsoft Edge Sandbox)(Citation: Ars Technica Pwn2Own 2017 VM Escape)

Other types of virtualization and application microsegmentation may also mitigate the impact of client-side exploitation. The risks of additional exploits and weaknesses in implementation may still exist for these types of systems.(Citation: Ars Technica Pwn2Own 2017 VM Escape)"
M1048,Application Isolation and Sandboxing,T1559.002,Dynamic Data Exchange,Ensure Protected View is enabled.(Citation: Microsoft Protected View)
M1048,Application Isolation and Sandboxing,T1611,Escape to Host,"Consider utilizing seccomp, seccomp-bpf, or a similar solution that restricts certain system calls such as mount. In Kubernetes environments, consider defining Pod Security Standards that limit container access to host process namespaces, the host network, and the host file system.(Citation: Kubernetes Hardening Guide)"
M1048,Application Isolation and Sandboxing,T1190,Exploit Public-Facing Application,Application isolation will limit what other processes and system features the exploited target can access.
M1048,Application Isolation and Sandboxing,T1203,Exploitation for Client Execution,"Browser sandboxes can be used to mitigate some of the impact of exploitation, but sandbox escapes may still exist. (Citation: Windows Blogs Microsoft Edge Sandbox) (Citation: Ars Technica Pwn2Own 2017 VM Escape)

Other types of virtualization and application microsegmentation may also mitigate the impact of client-side exploitation. Risks of additional exploits and weaknesses in those systems may still exist. (Citation: Ars Technica Pwn2Own 2017 VM Escape)"
M1048,Application Isolation and Sandboxing,T1212,Exploitation for Credential Access,Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing. Other types of virtualization and application microsegmentation may also mitigate the impact of some types of exploitation. Risks of additional exploits and weaknesses in these systems may still exist.(Citation: Ars Technica Pwn2Own 2017 VM Escape)
M1048,Application Isolation and Sandboxing,T1211,Exploitation for Defense Evasion,Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing. Other types of virtualization and application microsegmentation may also mitigate the impact of some types of exploitation. Risks of additional exploits and weaknesses in these systems may still exist. (Citation: Ars Technica Pwn2Own 2017 VM Escape)
M1048,Application Isolation and Sandboxing,T1068,Exploitation for Privilege Escalation,Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing. Other types of virtualization and application microsegmentation may also mitigate the impact of some types of exploitation. Risks of additional exploits and weaknesses in these systems may still exist. (Citation: Ars Technica Pwn2Own 2017 VM Escape)
M1048,Application Isolation and Sandboxing,T1210,Exploitation of Remote Services,Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing. Other types of virtualization and application microsegmentation may also mitigate the impact of some types of exploitation. Risks of additional exploits and weaknesses in these systems may still exist. (Citation: Ars Technica Pwn2Own 2017 VM Escape)
M1048,Application Isolation and Sandboxing,T1027.006,HTML Smuggling,"Browser sandboxes can be used to mitigate some of the impact of exploitation, but sandbox escapes may still exist. 
"
M1048,Application Isolation and Sandboxing,T1559,Inter-Process Communication,Ensure all COM alerts and Protected View are enabled.(Citation: Microsoft Protected View)
M1047,Audit,T1558.004,AS-REP Roasting,Kerberos preauthentication is enabled by default. Older protocols might not support preauthentication therefore it is possible to have this setting disabled. Make sure that all accounts have preauthentication whenever possible and audit changes to setting. Windows tools such as PowerShell may be used to easily find which accounts have preauthentication disabled.  (Citation: Microsoft Preauthentication Jul 2012)(Citation: Stealthbits Cracking AS-REP Roasting Jun 2019)
M1047,Audit,T1548,Abuse Elevation Control Mechanism,Check for common UAC bypass weaknesses on Windows systems to be aware of the risk posture and address issues where appropriate.(Citation: Github UACMe)
M1047,Audit,T1550.001,Application Access Token,"Administrators should audit all cloud and container accounts to ensure that they are necessary and that the permissions granted to them are appropriate. Where possible, the ability to request temporary account tokens on behalf of another accounts should be disabled. Additionally, administrators can leverage audit tools to monitor actions that can be conducted as a result of OAuth 2.0 access. For instance, audit reports enable admins to identify privilege escalation actions such as role creations or policy modifications, which could be actions performed after initial access."
M1047,Audit,T1560,Archive Collected Data,System scans can be performed to identify unauthorized archival utilities.
M1047,Audit,T1560.001,Archive via Utility,System scans can be performed to identify unauthorized archival utilities.
M1047,Audit,T1053.002,At,"Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for permission weaknesses in scheduled tasks that could be used to escalate privileges. (Citation: Powersploit) Windows operating system also creates a registry key specifically associated with the creation of a scheduled task on the destination host at: Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tree\At1. (Citation: Secureworks - AT.exe Scheduled Task) In Linux and macOS environments, scheduled tasks using <code>[at](https://attack.mitre.org/software/S0110)</code> can be audited locally, or through centrally collected logging, using syslog, or auditd events from the host. (Citation: Kifarunix - Task Scheduling in Linux)"
M1047,Audit,T1176,Browser Extensions, Ensure extensions that are installed are the intended ones as many malicious extensions will masquerade as legitimate ones.
M1047,Audit,T1612,Build Image on Host,Audit images deployed within the environment to ensure they do not contain any malicious components.
M1047,Audit,T1548.002,Bypass User Account Control,Check for common UAC bypass weaknesses on Windows systems to be aware of the risk posture and address issues where appropriate.(Citation: Github UACMe)
M1047,Audit,T1552.008,Chat Messages,"Preemptively search through communication services to find shared unsecured credentials. Searching for common patterns like ""<code>password is </code>"", “<code>password=</code>” and take actions to reduce exposure when found. "
M1047,Audit,T1070.008,Clear Mailbox Data,"In an Exchange environment, Administrators can use `Get-TransportRule` / `Remove-TransportRule` to discover and remove potentially malicious transport rules.(Citation: Microsoft Manage Mail Flow Rules 2023)"
M1047,Audit,T1087.004,Cloud Account,Routinely check user permissions to ensure only the expected users have the ability to list IAM identities or otherwise discover cloud accounts.
M1047,Audit,T1593.003,Code Repositories,"Scan public code repositories for exposed credentials or other sensitive information before making commits. Ensure that any leaked credentials are removed from the commit history, not just the current latest version of the code."
M1047,Audit,T1213.003,Code Repositories,Consider periodic reviews of accounts and privileges for critical and sensitive code repositories. Scan code repositories for exposed credentials or other sensitive information.
M1047,Audit,T1213.001,Confluence,Consider periodic review of accounts and privileges for critical and sensitive Confluence repositories.
M1047,Audit,T1578.002,Create Cloud Instance,Routinely check user permissions to ensure only the expected users have the capability to create new instances.
M1047,Audit,T1578.001,Create Snapshot,Routinely check user permissions to ensure only the expected users have the capability to create snapshots and backups.
M1047,Audit,T1543,Create or Modify System Process,Use auditing tools capable of detecting privilege and service abuse opportunities on systems within an enterprise and correct them.
M1047,Audit,T1552.001,Credentials In Files,Preemptively search for files containing passwords and take actions to reduce the exposure risk when found.
M1047,Audit,T1552.002,Credentials in Registry,Proactively search for credentials within the Registry and attempt to remediate the risk.
M1047,Audit,T1053.003,Cron,"Review changes to the <code>cron</code> schedule. <code>cron</code> execution can be reviewed within the <code>/var/log</code> directory. To validate the location of the <code>cron</code> log file, check the syslog config at <code>/etc/rsyslog.conf</code> or <code>/etc/syslog.conf</code> "
M1047,Audit,T1574.001,DLL Search Order Hijacking,"Use auditing tools capable of detecting DLL search order hijacking opportunities on systems within an enterprise and correct them. Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for DLL hijacking weaknesses.(Citation: Powersploit)

Use the program sxstrace.exe that is included with Windows along with manual inspection to check manifest files for side-by-side problems in software.(Citation: Microsoft Sxstrace)"
M1047,Audit,T1530,Data from Cloud Storage,"Frequently check permissions on cloud storage to ensure proper permissions are set to deny open or unprivileged access to resources.(Citation: Amazon S3 Security, 2019)"
M1047,Audit,T1213,Data from Information Repositories,Consider periodic review of accounts and privileges for critical and sensitive repositories.
M1047,Audit,T1578.003,Delete Cloud Instance,Routinely check user permissions to ensure only the expected users have the capability to delete new instances.
M1047,Audit,T1610,Deploy Container,"Scan images before deployment, and block those that are not in compliance with security policies. In Kubernetes environments, the admission controller can be used to validate images after a container deployment request is authenticated but before the container is deployed.(Citation: Kubernetes Hardening Guide)"
M1047,Audit,T1562.002,Disable Windows Event Logging,Consider periodic review of <code>auditpol</code> settings for Administrator accounts and perform dynamic baselining on SIEM(s) to investigate potential malicious activity. Also ensure that the EventLog service and its threads are properly running.
M1047,Audit,T1562.007,Disable or Modify Cloud Firewall,Routinely check account role permissions to ensure only expected users and roles have permission to modify cloud firewalls. 
M1047,Audit,T1562.012,Disable or Modify Linux Audit System,"Routinely check account role permissions to ensure only expected users and roles have permission to modify logging settings.

To ensure Audit rules can not be modified at runtime, add the `auditctl -e 2` as the last command in the audit.rules files. Once started, any attempt to change the configuration in this mode will be audited and denied. The configuration can only be changed by rebooting the machine."
M1047,Audit,T1562.004,Disable or Modify System Firewall,Routinely check account role permissions to ensure only expected users and roles have permission to modify system firewalls.
M1047,Audit,T1482,Domain Trust Discovery,Map the trusts within existing domains/forests and keep trust relationships to a minimum.
M1047,Audit,T1484,Domain or Tenant Policy Modification,Identify and correct GPO permissions abuse opportunities (ex: GPO modification privileges) using auditing tools such as [BloodHound](https://attack.mitre.org/software/S0521) (version 1.5.1 and later)(Citation: GitHub Bloodhound).
M1047,Audit,T1114,Email Collection,"Enterprise email solutions have monitoring mechanisms that may include the ability to audit auto-forwarding rules on a regular basis.

In an Exchange environment, Administrators can use Get-InboxRule to discover and remove potentially malicious auto-forwarding rules.(Citation: Microsoft Tim McMichael Exchange Mail Forwarding 2) "
M1047,Audit,T1114.003,Email Forwarding Rule,"Enterprise email solutions have monitoring mechanisms that may include the ability to audit auto-forwarding rules on a regular basis.

In an Exchange environment, Administrators can use `Get-InboxRule` / `Remove-InboxRule` and `Get-TransportRule` / `Remove-TransportRule` to discover and remove potentially malicious auto-fowarding and transport rules.(Citation: Microsoft Tim McMichael Exchange Mail Forwarding 2)(Citation: Microsoft Manage Mail Flow Rules 2023)(Citation: Microsoft Get-InboxRule) In addition to this, a MAPI Editor can be utilized to examine the underlying database structure and discover any modifications/tampering of the properties of auto-forwarding rules.(Citation: Pfammatter - Hidden Inbox Rules)"
M1047,Audit,T1564.008,Email Hiding Rules,"Enterprise email solutions may have monitoring mechanisms that may include the ability to audit inbox rules on a regular basis. 

In an Exchange environment, Administrators can use `Get-InboxRule` / `Remove-InboxRule` and `Get-TransportRule` / `Remove-TransportRule` to discover and remove potentially malicious inbox and transport rules.(Citation: Microsoft Get-InboxRule)(Citation: Microsoft Manage Mail Flow Rules 2023)"
M1047,Audit,T1574.005,Executable Installer File Permissions Weakness,Use auditing tools capable of detecting file system permissions abuse opportunities on systems within an enterprise and correct them. Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for service file system permissions weaknesses.(Citation: Powersploit)
M1047,Audit,T1027.011,Fileless Storage,Consider periodic review of common fileless storage locations (such as the Registry or WMI repository) to potentially identify abnormal and malicious data.
M1047,Audit,T1606,Forge Web Credentials,"Administrators should perform an audit of all access lists and the permissions they have been granted to access web applications and services. This should be done extensively on all resources in order to establish a baseline, followed up on with periodic audits of new or updated resources. Suspicious accounts/credentials should be investigated and removed.
 
Enable advanced auditing on ADFS. Check the success and failure audit options in the ADFS Management snap-in. Enable Audit Application Generated events on the AD FS farm via Group Policy Object.(Citation: FireEye ADFS)"
M1047,Audit,T1484.001,Group Policy Modification,Identify and correct GPO permissions abuse opportunities (ex: GPO modification privileges) using auditing tools such as [BloodHound](https://attack.mitre.org/software/S0521) (version 1.5.1 and later).(Citation: GitHub Bloodhound)
M1047,Audit,T1552.006,Group Policy Preferences,Search SYSVOL for any existing GGPs that may contain credentials and remove them.(Citation: ADSecurity Finding Passwords in SYSVOL)
M1047,Audit,T1574,Hijack Execution Flow,"Use auditing tools capable of detecting hijacking opportunities on systems within an enterprise and correct them. Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for hijacking weaknesses.(Citation: Powersploit)

Use the program sxstrace.exe that is included with Windows along with manual inspection to check manifest files for side-loading vulnerabilities in software.

Find and eliminate path interception weaknesses in program configuration files, scripts, the PATH environment variable, services, and in shortcuts by surrounding PATH variables with quotation marks when functions allow for them. Be aware of the search order Windows uses for executing or loading binaries and use fully qualified paths wherever appropriate.

Clean up old Windows Registry keys when software is uninstalled to avoid keys with no associated legitimate binaries. Periodically search for and correct or report path interception weaknesses on systems that may have been introduced using custom or available tools that report software using insecure path configurations.(Citation: Microsoft CreateProcess)(Citation: Microsoft Dynamic-Link Library Security)(Citation: Vulnerability and Exploit Detector)"
M1047,Audit,T1556.007,Hybrid Identity,"Periodically review the hybrid identity solution in use for any discrepancies. For example, review all PTA agents in the Azure Management Portal to identify any unwanted or unapproved ones.(Citation: Mandiant Azure AD Backdoors) If ADFS is in use, review DLLs and executable files in the AD FS and Global Assembly Cache directories to ensure that they are signed by Microsoft. Note that in some cases binaries may be catalog-signed, which may cause the file to appear unsigned when viewing file properties.(Citation: MagicWeb)"
M1047,Audit,T1505.004,IIS Components,Regularly check installed IIS components to verify the integrity of the web server and identify if unexpected changes have been made.
M1047,Audit,T1562,Impair Defenses,Routinely check account role permissions to ensure only expected users and roles have permission to modify defensive tools and settings.
M1047,Audit,T1525,Implant Internal Image,Periodically check the integrity of images and containers used in cloud deployments to ensure they have not been modified to include malicious software.
M1047,Audit,T1546.006,LC_LOAD_DYLIB Addition,"Binaries can also be baselined for what dynamic libraries they require, and if an app requires a new dynamic library that wasn't included as part of an update, it should be investigated."
M1047,Audit,T1543.004,Launch Daemon,"Use auditing tools capable of detecting folder permissions abuse opportunities on systems, especially reviewing changes made to folders by third-party software."
M1047,Audit,T1204.003,Malicious Image,Audit images deployed within the environment to ensure they do not contain any malicious components.
M1047,Audit,T1556,Modify Authentication Process,"Review authentication logs to ensure that mechanisms such as enforcement of MFA are functioning as intended.

Periodically review the hybrid identity solution in use for any discrepancies. For example, review all Pass Through Authentication (PTA) agents in the Azure Management Portal to identify any unwanted or unapproved ones.(Citation: Mandiant Azure AD Backdoors) If ADFS is in use, review DLLs and executable files in the AD FS and Global Assembly Cache directories to ensure that they are signed by Microsoft. Note that in some cases binaries may be catalog-signed, which may cause the file to appear unsigned when viewing file properties.(Citation: MagicWeb)

Periodically review for new and unknown network provider DLLs within the Registry (`HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\<NetworkProviderName>\NetworkProvider\ProviderPath`). Ensure only valid network provider DLLs are registered. The name of these can be found in the Registry key at `HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\NetworkProvider\Order`, and have corresponding service subkey pointing to a DLL at `HKEY_LOCAL_MACHINE\SYSTEM\CurrentC ontrolSet\Services\<NetworkProviderName>\NetworkProvider`."
M1047,Audit,T1578.005,Modify Cloud Compute Configurations,Routinely monitor user permissions to ensure only the expected users have the capability to request quota adjustments or modify tenant-level compute settings.
M1047,Audit,T1578,Modify Cloud Compute Infrastructure,Routinely monitor user permissions to ensure only the expected users have the capability to modify cloud compute infrastructure components.
